id;Name;lon;lat;District;station_name;RouteNumbers
1009002;«Ул. Александры Монаховой, 61», улица Александры Монаховой (1009002);37.49112955;55.55618822;поселение Сосенское;Ул. Александры Монаховой, 61;А895
1000647;«Мкр. Бутовские Аллеи», улица Александры Монаховой (1000647);37.48915249;55.54221924;поселение Сосенское;Мкр. Бутовские Аллеи;А895
1000648;«Мкр. Бутовские Аллеи», улица Александры Монаховой (1000648);37.48945294;55.54358655;поселение Сосенское;Мкр. Бутовские Аллеи;А895
1000649;«ЖК Бунинский», улица Александры Монаховой (1000649);37.48954321;55.54114833;поселение Сосенское;ЖК Бунинский;А895
1009001;«Ул. Александры Монаховой, 61», улица Александры Монаховой (1009001);37.49178472;55.55597799;поселение Сосенское;Ул. Александры Монаховой, 61;А895
1001714;«Ул. Вилиса Лациса», улица Вилиса Лациса (1001714);37.407068;55.85913037;район Северное Тушино;Ул. Вилиса Лациса;А896
1001715;«Бассейн Лазурный», улица Вилиса Лациса (1001715);37.41332088;55.86192393;район Северное Тушино;Бассейн Лазурный;А896
1009695;«Бассейн Лазурный», улица Вилиса Лациса (1009695);37.41426122;55.86181899;район Северное Тушино;Бассейн Лазурный;А896
1009696;«Ул. Вилиса Лациса», улица Вилиса Лациса (1009696);37.40891377;55.86007393;район Северное Тушино;Ул. Вилиса Лациса;А896
1009075;«Рязановское ш.», Остафьевское шоссе (1009075);37.51581816;55.48820328;поселение Рязановское;Рязановское ш.;А898
1009076;«Молодцевская ул.», Остафьевское шоссе (1009076);37.52264165;55.49479912;поселение Рязановское;Молодцевская ул.;А898
1009078;«Ул. Маршала Логинова», Остафьевское шоссе (1009078);37.52373949;55.49880984;поселение Рязановское;Ул. Маршала Логинова;А898
1009079;«Ул. Маршала Логинова», Остафьевское шоссе (1009079);37.52308484;55.49799122;поселение Рязановское;Ул. Маршала Логинова;А898
1009080;«Ул. Маршала Руденко», Остафьевское шоссе (1009080);37.52716709;55.5032227;поселение Рязановское;Ул. Маршала Руденко;А898
1009081;«Ул. Маршала Руденко», Остафьевское шоссе (1009081);37.52496723;55.50221206;поселение Рязановское;Ул. Маршала Руденко;А898
1009077;«Молодцевская ул.», Остафьевское шоссе (1009077);37.52196737;55.49396707;поселение Рязановское;Молодцевская ул.;А898
1009082;«Остафьевское ш.», Остафьевское шоссе (1009082);37.53398779;55.50593224;район Южное Бутово;Остафьевское ш.;А898
1009083;«Остафьевское ш.», Остафьевское шоссе (1009083);37.53227713;55.5058723;район Южное Бутово;Остафьевское ш.;А898
1009084;«По требованию», Остафьевское шоссе (1009084);37.54199028;55.50706615;район Южное Бутово;По требованию;А898
1009085;«По требованию», Остафьевское шоссе (1009085);37.54030327;55.50708013;район Южное Бутово;По требованию;А898
1009086;«Ул. Степана Эрьзи», Остафьевское шоссе (1009086);37.55133698;55.50790594;район Южное Бутово;Ул. Степана Эрьзи;А898
1009087;«Ул. Степана Эрьзи», Остафьевское шоссе (1009087);37.55099435;55.50812977;район Южное Бутово;Ул. Степана Эрьзи;А898
1001419;«Барышевская роща (выс., пос.)», улица Барышевская Роща (1001419);37.53331467;55.50382145;поселение Щербинка;Барышевская роща (выс., пос.);А898К
8567;«Восточная ул.», Пересветов переулок (8567);37.66155343;55.71598512;Даниловский район;Восточная ул.;А9
1009100;«Серпуховский Вал», улица Серпуховский Вал (1009100);37.60800013;55.71147464;Даниловский район;Серпуховский Вал;А9
6871;«Даниловский рынок», улица Серпуховский Вал (6871);37.61807438;55.7117483;Даниловский район;Даниловский рынок;А9
6872;«Хавская ул.», улица Серпуховский Вал (6872);37.61439183;55.71186878;Даниловский район;Хавская ул.;А9
6874;«Хавская ул.», улица Серпуховский Вал (6874);37.61414931;55.71127185;Даниловский район;Хавская ул.;А9
6875;«Даниловский рынок», улица Серпуховский Вал (6875);37.61975471;55.71112426;Даниловский район;Даниловский рынок;А9
10584;«Серпуховский Вал», улица Серпуховский Вал (10584);37.60765186;55.71205182;Даниловский район;Серпуховский Вал;А9
5379;«Метро Пролетарская (южн. вход)», 1-я Дубровская улица (5379);37.66823282;55.73142141;Таганский район;Метро Пролетарская (южн. вход);А9
5380;«1-я Дубровская ул.», 1-я Дубровская улица (5380);37.66893307;55.72808289;Южнопортовый район;1-я Дубровская ул.;А9
5381;«Ул. Мельникова», 1-я Дубровская улица (5381);37.67070134;55.72532678;Южнопортовый район;Ул. Мельникова;А9
5382;«1-я Дубровская ул., 18», 1-я Дубровская улица (5382);37.67352898;55.72181861;Южнопортовый район;1-я Дубровская ул., 18;А9
101;«Ф-ка игрушек», улица Клары Цеткин (101);37.51170757;55.82979654;район Коптево;Ф-ка игрушек;А90
150;«Ф-ка игрушек», улица Клары Цеткин (150);37.51240141;55.82918223;Войковский район;Ф-ка игрушек;А90
1000826;«Диспансер», Нарвская улица (1000826);37.50509261;55.83609879;Войковский район;Диспансер;А90
1000827;«Мебельная ф-ка», Нарвская улица (1000827);37.5057291;55.8352425;Войковский район;Мебельная ф-ка;А90
1000828;«Мебельная ф-ка», Нарвская улица (1000828);37.50588421;55.83439903;Войковский район;Мебельная ф-ка;А90
99;«Онкологический диспансер», Старопетровский проезд (99);37.50259018;55.82324046;Войковский район;Онкологический диспансер;А90
100;«Старопетровский пр.», Старопетровский проезд (100);37.50872434;55.82466889;Войковский район;Старопетровский пр.;А90
151;«Старопетровский пр.», Старопетровский проезд (151);37.50758103;55.82460143;Войковский район;Старопетровский пр.;А90
152;«Онкологический диспансер», Старопетровский проезд (152);37.50344704;55.82364048;Войковский район;Онкологический диспансер;А90
949;«Ул. Клары Цеткин», Старопетровский проезд (949);37.51405146;55.82726349;Войковский район;Ул. Клары Цеткин;А90
951;«Ул. Клары Цеткин», Старопетровский проезд (951);37.51197412;55.82692711;Войковский район;Ул. Клары Цеткин;А90
952;«Метро Войковская», Старопетровский проезд (952);37.49904552;55.82066869;Войковский район;Метро Войковская;А90
134;«Школа им. Марш. Говорова», Смольная улица (134);37.48215583;55.86106097;район Ховрино;Школа им. Марш. Говорова;А90
135;«Смольная ул., 45», Смольная улица (135);37.48021163;55.86265788;район Ховрино;Смольная ул., 45;А90
10555;«Метро Беломорская», Смольная улица (10555);37.4769998;55.86569338;район Ховрино;Метро Беломорская;А90
1002206;«Смольная ул., 29», Смольная улица (1002206);37.48494848;55.85879118;район Ховрино;Смольная ул., 29;А90
116;«15-й таксомоторный парк», Беломорская улица (116);37.4835904385;55.8670126721;район Ховрино;15-й таксомоторный парк;А90
115;«Петрозаводская ул.», Петрозаводская улица (115);37.49047802;55.86710975;район Ховрино;Петрозаводская ул.;А90
108;«3-й Лихачевский пер.», Онежская улица (108);37.52077371;55.84940542;Головинский район;3-й Лихачевский пер.;А90
109;«Онежская ул., 19», Онежская улица (109);37.5192826;55.85217697;Головинский район;Онежская ул., 19;А90
