id	line_name	station_name	lon	lat	route_numbers
129	Sokolnicheskaya	Можайское ш.	37.4236718	55.71906429	А103
130	Sokolnicheskaya	93-й кв. Кунцева	37.42310696	55.71642729	А103
131	Sokolnicheskaya	Верейская ул.	37.42350089	55.7128852	А103
132	Sokolnicheskaya	Верейская ул., 41	37.43096018	55.71293941	А103
133	Sokolnicheskaya	МРТЗ	37.43574215	55.71202373	А103
134	Sokolnicheskaya	Верейская ул., 25	37.44063312	55.71157349	А103
135	Sokolnicheskaya	Верейская ул., 25	37.43941029	55.71183636	А103
136	Sokolnicheskaya	Верейская ул., 41	37.43002496	55.71331761	А103
137	Sokolnicheskaya	Школа-интернат № 17	37.55191024	55.66733882	А103
138	Sokolnicheskaya	Кутузовский просп.	37.48837616	55.73018447	А103
139	Sokolnicheskaya	Метро Славянский бульвар	37.47401503	55.72795066	А103
140	Sokolnicheskaya	Староможайское ш.	37.4808279359	55.7291039987	А103
141	Sokolnicheskaya	Можайское ш.	37.42415999	55.71899711	А103
142	Sokolnicheskaya	Метро Славянский бульвар	37.47258193	55.72844133	А103
143	Sokolnicheskaya	Ул. Акад. Полякова	37.56010509	55.66702876	А103
144	Sokolnicheskaya	Метро Новые Черемушки	37.55438337	55.66895496	А103
145	Sokolnicheskaya	Ул. Генерала Дорохова	37.44533922	55.70997808	А103
146	Sokolnicheskaya	Метро Новые Черемушки	37.55318041	55.67134726	А103
147	Sokolnicheskaya	Концертный зал Оркестрион	37.54949705	55.67239648	А103
148	Sokolnicheskaya	Концертный зал Оркестрион	37.54858577	55.67185362	А103
149	Sokolnicheskaya	Ул. Лебедева	37.5283406	55.69751984	А103
150	Sokolnicheskaya	Ул. Архитектора Власова, 25	37.54883718	55.6756522	А103
151	Sokolnicheskaya	Ул. Архитектора Власова, 7	37.5531251	55.6796204	А103
152	Sokolnicheskaya	Ул. Архитектора Власова, 7	37.55271694	55.67960601	А103
153	Sokolnicheskaya	Ул. Архитектора Власова, 25	37.5477087	55.67491488	А103
154	Sokolnicheskaya	Ул. Архитектора Власова, 13	37.5518054	55.67839217	А103
155	Sokolnicheskaya	Ул. Архитектора Власова, 13	37.55114448	55.67810715	А103
156	Sokolnicheskaya	Метро Новые Черемушки	37.5536799	55.6696374	А103
157	Sokolnicheskaya	Центр здоровья детей	37.54784886	55.68637382	А103
158	Sokolnicheskaya	Ознобишино - 2	37.44037389	55.39829311	А1030
159	Sokolnicheskaya	Молокозавод	37.4585448311	55.4039793773	А1030
160	Sokolnicheskaya	Троицкое - 2	37.41478114	55.38567496	А1030
161	Sokolnicheskaya	Ознобишино - 1	37.45037979	55.40117964	А1030
162	Sokolnicheskaya	Варшавское ш. - 49-й км.	37.39703573	55.37697303	А1030
163	Sokolnicheskaya	Троицкое - 1	37.42045139	55.38796493	А1030
164	Sokolnicheskaya	Европейская долина	37.38930859	55.43007744	А1032
165	Sokolnicheskaya	Поворот на пос. № 3 - 52-й км.	37.35730609	55.35930481	А1036
166	Sokolnicheskaya	Поворот на пос. № 3 - 52-й км.	37.35894133	55.3595473	А1036
167	Sokolnicheskaya	14-й км.	37.36945221	55.36392885	А1036
168	Sokolnicheskaya	14-й км.	37.3706185	55.36412218	А1036
169	Sokolnicheskaya	Курилово	37.38471691	55.36977172	А1036
170	Sokolnicheskaya	Курилово	37.38640198	55.37020503	А1036
171	Sokolnicheskaya	Варшавское ш. - 49-й км.	37.39498722	55.37606049	А1036
172	Sokolnicheskaya	Киселево	37.34247878	55.35326648	А1036
173	Sokolnicheskaya	Пионерский лагерь	37.11465839	55.32639838	А1036
174	Sokolnicheskaya	Юрьевка	37.10047227	55.32568763	А1036
175	Sokolnicheskaya	Троица	37.07852776	55.323192	А1036
176	Sokolnicheskaya	Свитино	37.07096638	55.32110307	А1036
177	Sokolnicheskaya	Озерное	37.05571699	55.31826937	А1036
178	Sokolnicheskaya	Сады	37.02681286	55.31524103	А1036
179	Sokolnicheskaya	Пионерский лагерь	37.11525639	55.32616442	А1036
180	Sokolnicheskaya	Юрьевка	37.10114083	55.3257397	А1036
181	Sokolnicheskaya	Троица	37.07891964	55.32324122	А1036
182	Sokolnicheskaya	Свитино	37.07158544	55.3212277	А1036
183	Sokolnicheskaya	Озерное	37.057555	55.31859402	А1036
184	Sokolnicheskaya	Администрация	37.15942959	55.31938074	А1036
185	Sokolnicheskaya	Поворот на Юдановку	37.23272552	55.31128628	А1036
186	Sokolnicheskaya	Коротыгино	37.24446645	55.31608522	А1036
187	Sokolnicheskaya	Коротыгино	37.24551899	55.31616122	А1036
188	Sokolnicheskaya	Лукошкино - 2	37.25631505	55.32063013	А1036
189	Sokolnicheskaya	Лукошкино - 2	37.25692886	55.32056609	А1036
190	Sokolnicheskaya	Лукошкино - 1	37.26724246	55.32480844	А1036
191	Sokolnicheskaya	Лукошкино - 1	37.26829153	55.32488615	А1036
192	Sokolnicheskaya	Пов. на Дубовский	37.29615211	55.33557406	А1036
193	Sokolnicheskaya	Пов. на Дубовский	37.2962883	55.3359581	А1036
194	Sokolnicheskaya	Молчаново	37.31744247	55.34408349	А1036
195	Sokolnicheskaya	Молчаново	37.31731603	55.34364404	А1036
196	Sokolnicheskaya	Киселево-2	37.33441594	55.35052008	А1036
197	Sokolnicheskaya	Киселево-2	37.33530425	55.35058227	А1036
198	Sokolnicheskaya	Киселево	37.34048725	55.35287052	А1036
199	Sokolnicheskaya	С/х Вороново	37.17275655	55.31100079	А1036
200	Sokolnicheskaya	С/х Вороново	37.17187248	55.31145414	А1036
201	Sokolnicheskaya	Вороново - 2	37.15384449	55.31808124	А1036
202	Sokolnicheskaya	Яковлевское	36.9367694473	55.4646724321	А1038
203	Sokolnicheskaya	Яковлевское	36.9377460564	55.4645066141	А1038
204	Sokolnicheskaya	Киевское ш.	36.92758784	55.47141451	А1038
205	Sokolnicheskaya	Киевское ш.	36.92770988	55.47256644	А1038
206	Sokolnicheskaya	Кузнецово	36.94014928	55.45374062	А1038
207	Sokolnicheskaya	Кузнецово	36.94028378	55.45424044	А1038
208	Sokolnicheskaya	П/л Тимуровец	36.94939137	55.44469611	А1038
209	Sokolnicheskaya	П/л Тимуровец	36.95015672	55.44422383	А1038
210	Sokolnicheskaya	Ул. Атласова	37.3549514519	55.5983656545	А1039
211	Sokolnicheskaya	Ул. Атласова	37.35556031	55.59813471	А1039
212	Sokolnicheskaya	Физкультурно-спортивный комплекс	37.3557736643	55.6013093315	А1039
213	Sokolnicheskaya	Физкультурно-спортивный комплекс	37.3564573437	55.6017162397	А1039
214	Sokolnicheskaya	П/л им. Гагарина	37.35297822	55.58754766	А1039
215	Sokolnicheskaya	П/л им. Гагарина	37.35229619	55.58819258	А1039
216	Sokolnicheskaya	Верхнее Валуево	37.35692623	55.57945499	А1039
217	Sokolnicheskaya	Администрация поселения Филимонковское	37.35407969	55.57599384	А1039
218	Sokolnicheskaya	Администрация поселения Филимонковское	37.35363909	55.5768009	А1039
219	Sokolnicheskaya	Валуево	37.35683525	55.57312259	А1039
220	Sokolnicheskaya	Валуево	37.35711878	55.57258254	А1039
221	Sokolnicheskaya	Новозаводская ул.	37.4917252789	55.7530332018	А104
222	Sokolnicheskaya	Лес (выс., пос.)	37.48419928	55.75277495	А104
223	Sokolnicheskaya	Инициативная ул., 5	37.45827267	55.71644497	А104
224	Sokolnicheskaya	Инициативная ул., 9	37.45475759	55.71579112	А104
225	Sokolnicheskaya	Интернат	37.46177479	55.71910359	А104
226	Sokolnicheskaya	Кременчугская ул.	37.46100128	55.71693573	А104
227	Sokolnicheskaya	Совхоз Ульяновский	37.34457343	55.6163604	А1042
228	Sokolnicheskaya	Совхоз Ульяновский	37.34550917	55.61535847	А1042
229	Sokolnicheskaya	Рассказовка - 2	37.33537759	55.63114521	А1042
230	Sokolnicheskaya	Саларьево-2	37.43925578	55.62630215	А1042
231	Sokolnicheskaya	Саларьево-2	37.43974386	55.62629249	А1042
232	Sokolnicheskaya	Саларьево-1	37.44579989	55.62119514	А1042
233	Sokolnicheskaya	Румянцево	37.43217044	55.62966056	А1042
234	Sokolnicheskaya	Крематорий	37.45255028	55.60932259	А1042
235	Sokolnicheskaya	Хованское кладб. (сев.)	37.44920763	55.6152023	А1042
236	Sokolnicheskaya	Хованское кладб. (сев.)	37.44907257	55.61482435	А1042
237	Sokolnicheskaya	Крематорий	37.45303663	55.60787204	А1042
238	Sokolnicheskaya	Ликова	37.27467853	55.61974961	А1042
239	Sokolnicheskaya	Изварино	37.2663639745	55.6235820544	А1043
240	Sokolnicheskaya	Школа	37.26605529	55.63228274	А1043
241	Sokolnicheskaya	МВТ	37.26197498	55.63723354	А1043
242	Sokolnicheskaya	Правление	37.2671213728	55.6442162613	А1043
243	Sokolnicheskaya	Ст. Внуково	37.26992929	55.64820704	А1043
244	Sokolnicheskaya	Правление	37.2687029594	55.6456783	А1043
245	Sokolnicheskaya	МВТ	37.26170449	55.63681614	А1043
246	Sokolnicheskaya	Школа	37.2654740857	55.6327922452	А1043
247	Sokolnicheskaya	Изварино	37.26498146	55.62415116	А1043
248	Sokolnicheskaya	Новомосковский	37.54853856	55.49114494	А1045
249	Sokolnicheskaya	Московская ул.	37.54706978	55.49582704	А1045
250	Sokolnicheskaya	Московская ул.	37.54737803	55.4956666	А1045
251	Sokolnicheskaya	Школьная ул.	37.54681379	55.49833305	А1045
252	Sokolnicheskaya	Ул. Чехова	37.55588688	55.50010253	А1045
253	Sokolnicheskaya	Ул. Чехова	37.55639313	55.50014456	А1045
254	Sokolnicheskaya	Галерея	37.55945859	55.50246147	А1045
255	Sokolnicheskaya	Галерея	37.5593649	55.50286715	А1045
256	Sokolnicheskaya	Школа	37.49856234	55.49339583	А1045
257	Sokolnicheskaya	Школа	37.49944219	55.49340308	А1045
258	Sokolnicheskaya	Сады Прометей	37.48565446	55.49503511	А1045
259	Sokolnicheskaya	Сады Прометей	37.48477839	55.49590648	А1045
260	Sokolnicheskaya	Пос. Остафьево (выс., пос.)	37.48377884	55.49772738	А1045
261	Sokolnicheskaya	Поликлиника	37.18237896	55.41212402	А1047
262	Sokolnicheskaya	Поликлиника	37.18140901	55.41189989	А1047
263	Sokolnicheskaya	Новомихайловское	37.17799541	55.4096331	А1047
264	Sokolnicheskaya	Новомихайловское	37.17737291	55.40952099	А1047
265	Sokolnicheskaya	Курорт Михайловское	37.16816689	55.41114832	А1047
266	Sokolnicheskaya	Курорт Михайловское	37.1676883	55.41148258	А1047
267	Sokolnicheskaya	Шишкин лес	37.19076444	55.41449824	А1047
268	Sokolnicheskaya	Шишкин лес	37.19014328	55.41419523	А1047
269	Sokolnicheskaya	49-й км.	37.23618937	55.39869857	А1047
270	Sokolnicheskaya	Дешино	37.20003197	55.40908614	А1047
271	Sokolnicheskaya	Дешино	37.2	55.40946083	А1047
272	Sokolnicheskaya	Терехово	37.20471895	55.40631781	А1047
273	Sokolnicheskaya	Терехово	37.20513571	55.40638994	А1047
274	Sokolnicheskaya	Плесково	37.09809498	55.41421264	А1047
275	Sokolnicheskaya	Дровнино	37.10381308	55.41438244	А1047
276	Sokolnicheskaya	Дровнино	37.10419688	55.41442364	А1047
277	Sokolnicheskaya	Ярцево	37.11505634	55.4142951	А1047
278	Sokolnicheskaya	Ярцево	37.11422188	55.41458706	А1047
279	Sokolnicheskaya	Лужки	37.12966757	55.41693164	А1047
280	Sokolnicheskaya	Лужки	37.12918566	55.4168962	А1047
281	Sokolnicheskaya	Автобаза	37.15458223	55.41253197	А1047
282	Sokolnicheskaya	Автобаза	37.15453639	55.41272954	А1047
283	Sokolnicheskaya	Ознобишино - 2	37.43925556	55.39800315	А1048
284	Sokolnicheskaya	Ознобишино - 1	37.4495261668	55.4011639321	А1048
285	Sokolnicheskaya	Молокозавод	37.4576134195	55.4039973122	А1048
286	Sokolnicheskaya	Троицкое - 2	37.41390415	55.38562013	А1048
287	Sokolnicheskaya	Троицкое - 1	37.42101764	55.38854425	А1048
288	Sokolnicheskaya	Киевский	36.8637950816	55.4280647662	А1049к
289	Sokolnicheskaya	Киевский	36.86281876	55.4287817	А1049к
290	Sokolnicheskaya	Ул. Плеханова	37.75707376	55.75942162	А104к
291	Sokolnicheskaya	Главная ал.	37.76869093	55.76171647	А104к
292	Sokolnicheskaya	Ул. Плеханова	37.75846418	55.75927061	А104к
293	Sokolnicheskaya	Главная ал.	37.7654846	55.76062382	А104к
294	Sokolnicheskaya	К/т Слава	37.77385258	55.76269709	А104к
295	Sokolnicheskaya	Метро Сокол	37.50972757	55.80502187	А105
296	Sokolnicheskaya	Ленинградский просп.	37.5102902	55.80489762	А105
297	Sokolnicheskaya	Троллейбусный парк	37.50578929	55.80989864	А105
298	Sokolnicheskaya	1-я ул. 8-го Марта	37.548412938	55.8011267664	А105
299	Sokolnicheskaya	4-я ул. 8-го Марта	37.54517782	55.80315252	А105
300	Sokolnicheskaya	Ленинградский рынок - К/т Баку	37.52945405	55.80877473	А105
301	Sokolnicheskaya	Российская открытая академия транспорта	37.52573767	55.80972867	А105
302	Sokolnicheskaya	1-й Балтийский пер.	37.5202407	55.81113993	А105
303	Sokolnicheskaya	Ул. Черняховского	37.53737245	55.80668856	А105
304	Sokolnicheskaya	Метро Сокол	37.51136505	55.80697506	А105
305	Sokolnicheskaya	Часовая ул.	37.51490545	55.81095924	А105
306	Sokolnicheskaya	Метро Динамо	37.55567354	55.79188221	А105
307	Sokolnicheskaya	Ул. Акад. Ильюшина	37.54201025	55.80499526	А105
308	Sokolnicheskaya	Петровско-Разумовская ал.	37.55885204	55.79601004	А105
309	Sokolnicheskaya	Планетная ул.	37.55419968	55.79771583	А105
310	Sokolnicheskaya	МЦД Щукинская	37.4596815	55.8091509	А105
311	Sokolnicheskaya	К/т Юность	37.49688573	55.79537896	А105
312	Sokolnicheskaya	Ул. Алабяна	37.50789427	55.80202738	А105
313	Sokolnicheskaya	Ул. Алабяна	37.50817902	55.80347413	А105
314	Sokolnicheskaya	Ул. Левитана	37.50422436	55.80005809	А105
315	Sokolnicheskaya	Ул. Левитана	37.50534398	55.80022845	А105
316	Sokolnicheskaya	Путевой дворец	37.54849025	55.79263254	А105
317	Sokolnicheskaya	Пл. Марины Расковой	37.51956515	55.80328155	А105
